Question,Answer
Забота о работниках | детский сад | Размер оплаты за посещение дошкольного учреждения. | Сколько мне будет необходимо платить за корпоративный детский сад? | сколько платить за ребенка в корпоративном детском саду |  | Стоимость оплаты за корпоративный детский сад со стороны работника |  | ,Оплата за посещение ребёнком детского сада определяется в соответствии с положением об установлении стоимости и оплате услуг в дошкольных группах частных образовательных учреждений оао «ржд» и зависит от количества детей в семье и социального статуса работника.  
"Забота о работниках | семья, отдых, ДОЛ, лагерь | Как подать заявку на путёвку в лагерь детям? | Как отправить ребенка в детский оздоровительный лагерь компании? | Где можно оформить заявку на путевку в лагерь или санаторий для ребенка? | Обязательно писать заявление на распределение путевок в лагерь для ребенка? | Заявка на путевку в детский лагерь | Где подать заявку в ДОЛ? | можно подать заявку в ДОЛ на Сервисном портале?","Путевки предоставляются работникам, имеющим детей школьного возраста от 7 до 16 лет.
работнику необходимо подать заявку через сервисный портал работника (раздел «льготы и досуг», далее «детский отдых») или написать заявление в комиссию по распределению путевок в санаторно-курортные и оздоровительные учреждения своего предприятия. порядок получения путевок в детские оздоровительные лагеря определен распоряжением оао «ржд» от 19 мая 2022 г. № 1332/р.  "
"Забота о работниках | семья, отдых, ДОЛ, лагерь | Какие условия направления ребенка в детский лагерь компании |  |  |  | путевки ДОЛ компании | путевки детям | лагерь для детей","Путевки предоставляются работникам, имеющим детей школьного возраста от 7 до 16 лет. 
порядок получения путевок в детские оздоровительные лагеря определен распоряжением оао «ржд» от 19 мая 2022 г. №1332/р. работнику необходимо подать заявку через сервисный портал работника или написать заявление в комиссию по распределению путевок в санаторно-курортные и оздоровительные учреждения своего предприятия. или подать заявку через сервисный портал работника.
размер родительской платы за путевку составляет от 5% до 25% и зависит от социального статуса (многодетные, малообеспеченные), даты начала смены и месторасположения объекта  "
"Забота о работниках | льготы, семья | Какие льготы положены моей семье? | какими льготами может пользоваться моя семья | какие есть льготы для семьи | какие есть семейные льготы |  |  | ","Получить подробную информацию о льготах и гарантиях для семьи можно:
- у специалистов по управлению персоналом структурного подразделения;
- в профсоюзной организации;
- в путеводителе по льготам, размещенном на сервисном портале в блоге «социальная поддержка».  "
"Забота о работниках | льготы, семья | Какие льготы мне положены? | какими льготами я могу пользоваться | какие льготы у меня есть | какие льготы в компании есть для меня | какие мои льготы |  | ","Для информировании работников о льготах и гарантиях, предоставляемых в компании, разработан путеводитель по льготам, который разъясняет предоставление льгот в простом и доступном формате с пошаговым алгоритмом. 
путеводитель структурирован в пакетные предложения под жизненные ситуации работника и включает в себя 11 тематических блоков:
1. бесплатный проезд.
2. отпуск. 
3. здоровье.
4. досуг.
5. семья (семейное благополучие).
6. компенсируемый социальный пакет. бонусный пакет.
7. молодежь.
8. комфортные условия.
9. перед выходом на пенсию.
10. корпоративное волонтерство.
11. здоровый образ жизни.
ознакомиться с путеводителем можно на сервисном портале в блоге «социальная поддержка».  "
Забота о работниках | бонусный пакет | Как будет реализована новая бонусная система в Коллективном договоре ОАО «РЖД»? | реализация новой бонусной системы в Коллективном договоре ОАО «РЖД» | новая бонусная система в РЖД | что дает бонусная система РЖД | хочу узнать про новую бонусную систему РЖД |  | ,"В компании существует программа бонусный пакет. работники всех структурных подразделений и филиалов компании могут получать бонусные баллы за активность в непроизводственной деятельности и затем обменивать их на различные бенефиты из перечня корпоративных предложений оао «ржд»: путёвки на отдых, абонементы на занятия спортом, билеты в музеи, курсы обучения. и многое другое. обменять баллы на бенефиты можно в течение трёх лет с момента их начисления. более подробную информацию о новой бонусной системе можно найти на сервисном портале работника ржд в разделе «бонусный пакет».  "
"Забота о работниках | КСП | О компенсируемом социальном пакете | что такое компенсируемый социальный пакет | узнать о компенсируемом социальном пакете | компенсируемый социальный пакет | номер распоряжения, где прописано, кому положен КСП и какие должности? | ксп | что такое ксп","Компенсируемый социальный пакет или ксп – это элемент социального пакета, предоставляемый с целью повышения привлекательности рабочих мест и мотивации работников к труду. ксп предоставляет работнику возможность компенсировать в пределах определенного лимита денежных средств свои затраты на услуги и товары, включенные в перечень элементов ксп, утвержденный распоряжением оао «ржд» от 4 марта 2011 г. № 465/р.  "
Забота компании о работнике | Компенсируемый социальный пакет | Молодые специалисты всех должностей имеют право на КСП? Или определенные должности? | Кто имеет право на КСП?  | Какие категории работников имеют право на компенсируемый социальный пакет? | Какая категория работников входит в значимую группу персонала? | КСП положено всем или определенным должностям |  | ,"На ксп имеет право, работник, чья профессия/должность вошла в перечень значимых категорий. 
каждый филиал определяет категорию должностей ежегодно самостоятельно в зависимости от разных условий и обстоятельств (текучесть кадров, востребованность профессий и др.). в целях уточнения списка должностей работник может обратиться к специалисту по управлению персоналом в своем подразделении. утверждение происходит в 4 квартале на год. Подробнее о критериях значимых категорий персонала Состав значимых категорий персонала и их коэффициенты определяются филиалами ежегодно на основе определенных критериев согласно «положению о компенсируемом социальном пакете (ксп), предоставляемом работникам оао «ржд», утвержденному распоряжением оао «ржд» от 4 марта 2011 г. № 465р. 
критерии для определения значимых категорий персонала:
- дефицитность профессии. дефицитность определяется с учетом таких кадровых показателей как текучести, тенденция текучести укомплектованность, коэффициент постоянства кадров, сменяемость кадров и другие ситуации на рынке труда региона, а также на основании целей и задач филиала. обоснование предоставления ксп дефицитным профессиям состоит в их привлечении и удержании в компании;
- участие работников во внедрении изменений в компании (наставники, члены рабочих групп по новым проектам, которые выполняют дополнительные функции, связанные с внедрением изменений; участвуют в реализации инновационных проектов (в том числе молодежных). обоснование предоставления ксп этим группам персонала состоит в моральной мотивации и поддержке внедрения инноваций;
- высокая квалификация работников, обеспечивающих основной производственный процесс для жизнедеятельности компании (высокая квалификация работников, входящих в список основных профессий; обладающие особыми компетенциями; работники, включенные в кадровый резерв и др.) цель предоставления ксп - подчеркнуть важность работников высокой квалификации, используя механизм моральной мотивации;
- производственные показатели, эффективность труда (это подразделения, победившие в соревнованиях; работники, победившие в соревнованиях; работники, получившие благодарности, награды);
- трудная жизненная ситуация работников – доход на одного члена семьи ниже прожиточного минимума на душу населения в соответствующем регионе. определяется на основе совокупного дохода семьи на одного человека с учетов всех прав на льготы и гарантии в рамках федеральных программ. величина прожиточного минимума на душу населения в регионах в дальневосточном федеральном округе определяется в соответствии с методическими указаниями по формированию аналитического отчета «численность работников с денежным доходом на одного члена семьи ниже прожиточного минимума», утвержденными от 30.09.2021 № 1400/цки. критерий для предоставления ксп данной категории работников применяется на дальневосточной железной дороге;
- прочие критерии, указанные в локальных нормативных актах компании по вопросам кадровой и социальной политики."
Забота компании о работнике | Компенсируемый социальный пакет | Какая категория работников входит в значимую группу персонала? | По каким критериям определяется значимость тех или иных групп персонала для КСП? | Как определяется состав значимых категорий персонала? |  | Критерии значимости категорий персонала для  КСП |  | ,"Состав значимых категорий персонала и их коэффициенты определяются филиалами ежегодно на основе определенных критериев согласно «положению о компенсируемом социальном пакете (ксп), предоставляемом работникам оао «ржд», утвержденному распоряжением оао «ржд» от 4 марта 2011 г. № 465р.  Критерии для определения значимых категорий персонала Критерии для определения значимых категорий персонала:
- дефицитность профессии. дефицитность определяется с учетом таких кадровых показателей как текучести, тенденция текучести укомплектованность, коэффициент постоянства кадров, сменяемость кадров и другие ситуации на рынке труда региона, а также на основании целей и задач филиала. обоснование предоставления ксп дефицитным профессиям состоит в их привлечении и удержании в компании;
- участие работников во внедрении изменений в компании (наставники, члены рабочих групп по новым проектам, которые выполняют дополнительные функции, связанные с внедрением изменений; участвуют в реализации инновационных проектов (в том числе молодежных). обоснование предоставления ксп этим группам персонала состоит в моральной мотивации и поддержке внедрения инноваций;
- высокая квалификация работников, обеспечивающих основной производственный процесс для жизнедеятельности компании (высокая квалификация работников, входящих в список основных профессий; обладающие особыми компетенциями; работники, включенные в кадровый резерв и др.) цель предоставления ксп - подчеркнуть важность работников высокой квалификации, используя механизм моральной мотивации;
- производственные показатели, эффективность труда (это подразделения, победившие в соревнованиях; работники, победившие в соревнованиях; работники, получившие благодарности, награды);
- трудная жизненная ситуация работников – доход на одного члена семьи ниже прожиточного минимума на душу населения в соответствующем регионе. определяется на основе совокупного дохода семьи на одного человека с учетов всех прав на льготы и гарантии в рамках федеральных программ. величина прожиточного минимума на душу населения в регионах в дальневосточном федеральном округе определяется в соответствии с методическими указаниями по формированию аналитического отчета «численность работников с денежным доходом на одного члена семьи ниже прожиточного минимума», утвержденными от 30.09.2021 № 1400/цки. критерий для предоставления ксп данной категории работников применяется на дальневосточной железной дороге;
- прочие критерии, указанные в локальных нормативных актах компании по вопросам кадровой и социальной политики."
Забота о работниках | КСП | Кому в дирекции положен КСП - компенсируемый социальный пакет? | Кому предоставляется компенсируемый социальный пакет? | Каким категориям работников предоставляется право на пользование компенсируемым социальным пакетом? | Кто является получателем КСП? | У меня есть право на КСП? |  | ,"Узнать являетесь ли вы получателем ксп можно, обратившись к ответственному работнику за ведение ксп в вашем подразделении (обычно это специалист по управлению персоналом).

состав значимых категорий персонала и их коэффициенты определяются филиалами ежегодно на основе определенных критериев согласно «положению о компенсируемом социальном пакете (ксп), предоставляемом работникам оао «ржд», утвержденному распоряжением оао «ржд» от 4 марта 2011 г. № 465р.

если ваша должность попадает под значимую категорию, то ответственный за ведение ксп предложит написать заявление, расскажет какие элементы вы сможете компенсировать и какие документы необходимо предоставить.  "
